artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
Travis Scott,Astrothunder,48,10,1,4MXhiYIRDMGAuvZc5IFTwC,1.0,74
Travis Scott,Butterfly Effect,50,10,23,2cYqizR4lgvp4Qu6IQ3qGN,0.0,83
Travis Scott,Houstonfornication,53,11,1,58TaFP5j5i9swOf584yon2,1.0,73
Travis Scott,Coffee Bean,68,14,1,6vnfObZ4Ys70SBAtti1xZ9,1.0,71
Jake Owen,I Was Jack (You Were Diane),43,9,11,3dlCF1mzW1UKMOb4b1XN17,0.0,66
Imagine Dragons,Whatever It Takes,12,3,27,6Qn5zhYkTa37e91HC1D7lb,0.0,80
Demi Lovato,Sober,47,10,3,0STK94RxUulYqWzwFlyAb5,0.0,74
Foster The People,Sit Next To Me,42,9,20,4BdGO1CaObRD4La9l5Zanz,0.0,73
Luke Combs,One Number Away,34,7,20,4gB7HrYHbJVJ5RFOjxmoq4,0.0,74
The Weeknd,Call Out My Name,4,1,18,09mEdoA6zrmBPgTEN5qXmN,0.0,82
Kanye West,All Mine,11,3,9,3U21A07gAloCc4P7J8rxcn,1.0,72
Queen Naija,Karma,63,13,2,3qmm9AdG0TnShv0drgXNIQ,0.0,65
Nicky Jam x J Balvin,X,41,9,21,5YUyW9opqNsMSEzzecZih1,0.0,76
Chance The Rapper,I Might Need Security,60,12,1,3EApebexZ7YqDIqw2EMTDh,1.0,61
Drake,Emotionless,8,2,4,5Psnhdkyanjpgc2P8A5TSM,1.0,66
Drake,Can't Take A Joke,18,4,4,1dUHF4RyMmMTveJ0Rby6Xm,1.0,67
Drake,Elevate,14,3,3,3szf2z1Cy1QMrtHrbn8rz9,1.0,64
Drake,Blue Tint,30,6,3,4n1bdaKwynQndm47x5HqWX,1.0,64
Bad Wolves,Zombie,54,11,18,1vNoA9F5ASnlBISFekDmg3,0.0,71
Drake,8 Out Of 10,21,5,3,0zqy3ss4CwD6u4QPksS0nI,1.0,61
Future,31 Days,65,13,2,7MywASx2OFZngfoORjo1yy,1.0,52
Future,Wifi Lit,53,11,1,6WlxcZKpEV6Bwe9InoVhMp,1.0,53
XXXTENTACION,Jocelyn Flores,19,4,20,7m9OqQk4RVRkw9JJdeAw96,1.0,87
Drake,Sandra's Rose,27,6,2,6cblRiEGDRNZgowcm951R3,1.0,63
Drake,Summer Games,28,6,2,4HG1YiGBseVKzjyKcmAJen,0.0,62
Drake,Jaded,32,7,2,4c2xt1trwYZpMqPWY35Xi9,1.0,65
Drake,That's How You Feel,37,8,2,41a7dZcq30Ss5kPMayWRV0,1.0,64
Drake,Survival,17,4,2,2yg9UN4eo5eMVJ7OB4RWj3,1.0,61
Future,Cuddle My Wrist,71,15,1,5UVNjOSh27encRBqTpBWup,1.0,50
Future,Racks Blue,76,16,1,4lc61NBCDzy2srBHDQeTfN,1.0,50
Drake,Finesse,42,9,2,2WP8G2pdddDmnh1xbfKBOI,0.0,70
Lil Pump,Drug Addicts,83,17,1,6tpHfEM8eaETzlPOARYWfZ,1.0,58
J. Cole,KOD,10,2,12,7yotKA30dwTKNEGomV9ZsI,1.0,72
Drake,Peak,38,8,2,11L064movtyopGdLiX4sVg,1.0,61
Drake,Is There More,36,8,2,1Tnw0ItH1Macok8gblnPPd,1.0,58
Drake,Ratchet Happy Birthday,51,11,1,4SUwJA3eUVNHExxMPEUhQe,1.0,58
Drake,Final Fantasy,56,12,1,44Du2IM1bGY7dicmLfXbUs,1.0,58
Drake,March 14,57,12,1,09lmraDvzBT3pUQ2rUtJzK,1.0,56
Lil Pump,Esskeetit,24,5,12,44KKhCyI0BGS6LvVyDqJtH,1.0,64
XXXTENTACION,Everybody Dies In Their Nightmares,42,9,7,3GVkPk8mqxz0itaAriG1L7,1.0,83
Kanye West,Yikes,8,2,5,1qsHYUd2c1wFGcn7e63QmG,1.0,68
Sam Hunt,Downtown's Dead,94,19,2,5eFfsbjSouG8qOpg9ZqDl6,0.0,57
Famous Dex,Japan,28,6,15,5PTG6rrL6EPFD9E2QMI2pl,1.0,73
XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),55,11,5,4UKCKdYiLN6IMA5ZESUTL7,1.0,82
Blake Shelton,I Lived It,63,13,18,5slddJ629YcePvqD6Uyk8r,0.0,60
Rich The Kid,Plug Walk,13,3,20,1ZAyjvIk9YiD76yYy0TEG6,1.0,75
Kane Brown,Heaven,15,3,27,1HXy5I3HTWq8OvxCn0z7G7,0.0,77
Dua Lipa,New Rules,6,2,48,2ekn2ttSfGqwhhate0LSR0,0.0,81
Maroon 5,Wait,24,5,24,6AvfZXpbb6r35DfF7gHPRq,0.0,64
Daddy Yankee,Dura,43,9,21,6nR4ZCrJ3j9oKjhrfdDg1O,0.0,13
"2 Chainz, Drake & Quavo",Bigger > You,53,11,2,5S1IUPueD0xE0vj4zU3nSf,1.0,64
Panic! At The Disco,Say Amen (Saturday Night),60,12,3,76vMKwFtdDDCLcM6zXybjB,0.0,69
XXXTENTACION,Hope,70,14,2,2ZRo7axmMPeSVUvDbGkJah,1.0,82
BTS,Fake Love,10,2,6,3aW0ds4A4tSQDIp75FqWTo,0.0,72
XXXTENTACION,Numb,80,16,3,01TnVDiet1DFTsyWKUKovl,0.0,75
YoungBoy Never Broke Again,Overdose,42,9,9,3A1BaBGT3HgzuDrV9pgX9v,1.0,59
Dierks Bentley,"Woman, Amen",53,11,12,3nBXOlFTADNvG9nkqy2O2W,0.0,63
The Carters,Boss,77,16,2,4F8V44j8cbjHnXjfW2HruU,1.0,54
BLACKPINK,DDU-DU DDU-DU,55,11,1,2aI2k39nfa3KFsa4JclQzw,0.0,76
Dua Lipa,IDGAF,49,10,23,76cy1WJvNGJTj78UqeA5zr,1.0,81
The Weeknd & Kendrick Lamar,Pray For Me,7,2,20,77UjLW8j5UAGAGVGhR5oUK,1.0,75
The Carters,Summer,84,17,1,7zmleW3XZx0uUsL2CkFuDe,0.0,52
KIDS SEE GHOSTS,Reborn,39,8,2,4RVbK6cV0VqWdpCDcx3hiT,1.0,73
The Carters,Nice,95,19,1,44lusH2vzc4sRAwsooRhPh,1.0,53
The Carters,Friends,99,20,1,0gu5B9dUOiLezdDjrLPCCV,1.0,50
KIDS SEE GHOSTS,Feel The Love,47,10,1,3aUFrxO1B8EW63QchEl3wX,1.0,66
Jason Aldean,You Make It Easy,28,6,20,6EGAfJaLUFzhS4zRBIEQ2J,0.0,72
KIDS SEE GHOSTS,"Freeee (Ghost Town, Pt. 2)",62,13,1,7GRTrWsP3yo2Fx8umJfA1X,1.0,61
KIDS SEE GHOSTS,Fire,67,14,1,6JyEh4kl9DLwmSAoNDRn5b,1.0,69
KIDS SEE GHOSTS,Cudi Montage,69,14,1,4kUZvXB3LC3an3HX6h0s17,1.0,65
KIDS SEE GHOSTS,KIDS SEE GHOSTS,73,15,1,2I3dW2dCBZAJGj5X21E53k,1.0,62
Kanye West,Violent Crimes,27,6,2,3s7MCdXyWmwjdcWh7GWXas,1.0,75
Jordan Davis,Singles You Up,50,10,19,4LiMQ6G9n84rDUBs9wtwz6,0.0,72
Kanye West,I Thought About Killing You,28,6,1,0yhxBvedRdGxsPZHJNI4VA,1.0,61
Kanye West,No Mistakes,36,8,1,35KV2Nuib6jPMVN00O8iba,1.0,61
Post Malone,Rich & Sad,14,3,6,2VdT56BGpdqNHUgOe1j5vc,1.0,73
Lil Skies,Lust,87,18,4,7oJrVhiTPZGBXWPwhxjy9S,1.0,77
Post Malone,Paranoid,11,3,6,3fpVWegR6YOS1Yk5HSMYIq,0.0,73
Kendrick Lamar & SZA,All The Stars,7,2,21,3GCdLUSnKSMJhs4Tj6CV3s,1.0,78
Offset & Metro Boomin,Ric Flair Drip,13,3,31,7sO5G9EABYOXQKNPNiE9NR,1.0,81
Pusha T,Infrared,65,13,1,6cpsixIHI63L0hwh3CwZg3,1.0,52
"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,21,5,20,51rXHuKN8Loc4sUlKPODgH,1.0,74
Pusha T,If You Know You Know,73,15,1,6bGwKHXHNLmTy6yt147FPh,1.0,62
Darius Rucker,For The First Time,58,12,10,0LG2cFomCi8Fb664Lvr3Nu,0.0,63
Luke Bryan,Most People Are Good,43,9,18,79LAFAkR1ATb4iIQvZuCL0,0.0,67
Pusha T,The Games We Play,100,20,1,7iEoaTyBCqLaAwJnOP1BTn,1.0,61
Kevin Gates,Change Lanes,68,14,1,59XHPyb0MTMElZpkG0Wp69,1.0,58
Kris Wu,Like That,73,15,1,4caEPudXQ1xDd1garjHPFv,0.0,43
Lil Baby,Southside,79,16,1,5lf3ajySox32qFvGEf2TFM,1.0,61
Kevin Gates,Let It Sing,82,17,1,090R9OdFMbQQksvwuXmNEY,1.0,47
Pharrell Williams x Camila Cabello,Sangria Wine,83,17,1,6XlSyYFTU1nodeWwwzVgTV,0.0,61
Post Malone,Stay,17,4,4,4H7WNRErSbONkM06blBoGc,1.0,77
J. Cole,ATM,6,2,5,2UciqgwVDwro0fev3MFbxJ,1.0,68
J. Cole,Kevin's Heart,8,2,5,6tZ3b7ik1QDXFAZlXib0YZ,1.0,73
Meghan Trainor,No Excuses,46,10,12,7fCNUWi6uflDTQ08srxMZk,0.0,65
YoungBoy Never Broke Again,Outside Today,31,7,19,3sA7HKGzcKTVscdiTCrWpX,1.0,70
Migos,Stir Fry,8,2,21,2UVbBKQOdFAekPTRsnkzcf,1.0,73
Post Malone,Over Now,24,5,3,09IOPhEh1OMe0HD9b36FJk,1.0,73
Post Malone,Zack And Codeine,23,5,3,5lZZmityu9TAjNvSY6GLhR,1.0,70
Tank,When We,78,16,20,2HWelwHQS4EdRqIycZOc3O,1.0,63
Post Malone,Takin' Shots,29,6,3,5ffntNJnJOeFv7b7DCd0Bw,1.0,70
Post Malone,92 Explorer,40,8,3,1D2L6MefbXon28PzIk9I3r,1.0,73
Nicki Minaj,Barbie Tingz,25,5,4,2qsQ8eVDPmobZpvDxQCVQu,1.0,66
Post Malone,Otherside,46,10,2,4qWCFTuNnmGNdY4egtb4ZY,1.0,70
Post Malone,Blame It On Me,47,10,2,1ZemPoaj7LBj1RAQrb89EC,0.0,70
YoungBoy Never Broke Again,Diamond Teeth Samurai,59,12,5,1k7KigfkZh2Xb6khqV1a0K,1.0,57
Mason Ramsey,Famous,62,13,2,1lasE4yXQmZ5mwWdGQGn8E,0.0,55
YoungBoy Never Broke Again,Preach,98,20,1,45RbAX2KxbPdNwUgeYA69j,1.0,54
Post Malone,Candy Paint,34,7,21,32lItqlMi4LBhb4k0BaSaC,1.0,78
Post Malone,Sugar Wraith,57,12,1,0MrRAUcB8AZiB9ue2VOBYe,1.0,70
J. Cole,Motiv8,15,3,2,1AT4xjNarTswd0UZ5FlmKF,1.0,66
Post Malone,Jonestown (Interlude),73,15,1,0R6Jlsq25eZB3Wftpxi3oF,0.0,60
J. Cole,Photograph,14,3,2,0bhnUFDQFCEHCBlsQfHnj5,1.0,64
J. Cole,Brackets,30,6,1,5sWbwccBcyHsg5LEKWGZo9,1.0,62
Avicii,Wake Me Up!,4,1,54,4h8VwCb1MTGoLKueQ1WgbD,0.0,84
Imagine Dragons,Thunder,4,1,52,1zB4vmk8tFRmM9UULNzbLB,0.0,84
NF,Let You Down,12,3,28,52okn5MNA47tk87PeZJLEL,0.0,82
Portugal. The Man,Feel It Still,4,1,45,6QgjcU0zLnzq5OrUoSZ3OK,0.0,79
J. Cole,Intro,53,11,1,4YwNf1fLZt9IQhJeHNWfBi,1.0,57
Brett Eldredge,The Long Way,65,13,12,5vuMtXS5kQ7F0o9V9rG1dG,0.0,64
Cardi B,Thru Your Phone,50,10,3,74cVJfmK18rhWnscIpGXjt,1.0,71
Post Malone,I Fall Apart,16,4,30,75ZvA4QfFiZvzhj2xkaWAh,1.0,83
G-Eazy & Halsey,Him & I,14,3,20,5k38wzpLb15YgncyWdTZE4,1.0,75
Halsey,Bad At Love,5,1,33,7y9iMe8SOB6z3NoHE2OfXl,0.0,75
Thomas Rhett,Marry Me,30,6,20,0OWZFobGSIW9GrSlQ9C5pc,0.0,71
Cardi B,Bickenhead,43,9,2,17Yq72h0p15OhCbZ5lJ5gd,1.0,59
Zayn,Let Me,73,15,1,0aVsVsOYDSEEigiwTrIab9,0.0,68
The Weeknd,Wasted Times,27,6,3,7DKS0rX27cCEPsK0R6tFWS,1.0,71
Cardi B,Get Up 10,38,8,2,7p2ewixAShLpjDZrnzZK7c,1.0,61
Cardi B,Money Bag,58,12,2,1vBeIXlzbAieGoDqInav5j,1.0,60
6ix9ine,Billy,50,10,8,5KhFaq45chTw8RGfWo8T8J,1.0,75
High Valley,She's With Me,79,16,8,2p2cCrOaNrIOLk5ArtlHy6,0.0,57
SZA,Broken Clocks,82,17,4,2fXwCWkh6YG5zU1IyvQrbs,1.0,72
Scotty McCreery,Five More Minutes,44,9,20,3qTmB5HxP9ilJaiM6B1yuk,0.0,68
6ix9ine,Gotti,99,20,1,27oFpFktCq9JIXjJQRuv7a,1.0,72
Derez De'Shon,Hardaway,61,13,11,25qhnRgAcImQWfaswqRkwN,1.0,55
Demi Lovato,Tell Me You Love Me,53,11,20,1MKZaAEx8RrzoQjHhVuvgs,0.0,68
The Weeknd,Try Me,26,6,2,4ppTAJUbNXELZcoUaL90wo,0.0,71
Chris Stapleton,Broken Halos,45,9,20,06gD2ZtK3Dzc1BYqWExQJJ,0.0,71
Devin Dawson,All On Me,52,11,20,2mfahQ0EaaZWq4cFNg6A1o,0.0,66
Alice Merton,No Roots,84,17,3,4CdfFYzaAJ0y0beKzmgJSn,0.0,58
The Weeknd,Privilege,52,11,1,0Nwar8rweBUyfyuoyjjUvk,1.0,68
YoungBoy Never Broke Again,No Smoke,61,13,18,57IRaiAB4hBZu3gnNVZC0v,1.0,66
Chris Brown,Tempo,88,18,4,0709StHzSeXpdj2zmqF2o2,1.0,61
"Tyler, The Creator",OKRA,89,18,1,74ZovzRxHBvCq5yIwe8boh,1.0,64
Luis Fonsi & Demi Lovato,Echame La Culpa,47,10,20,2hl6q70unbviGo3g1R7uFx,0.0,67
Old Dominion,Written In The Sand,51,11,20,2A69wys3S9uiPSmn6UZWJn,0.0,73
P!nk,Beautiful Trauma,78,16,15,2DlIwu1iDTILEMXA7MUotn,1.0,66
H.E.R.,Focus,100,20,1,3tZs3nVjySLbL320lP4mvs,0.0,67
6ix9ine,Gummo,12,3,20,4HbiCvH1R7mVOJ7KY7JQBD,1.0,72
Lil Xan,Betrayed,64,13,20,4vaxvNDaLSoD36iZX515ug,1.0,74
Logic,44 More,22,5,5,3e7Y6sfFlIdBMJhX7wpqVO,1.0,70
Blac Youngsta,Booty,73,15,5,0FbSpY8RPxTRxi1Fpj9Dz9,1.0,61
YBN Nahmir,Rubbin Off The Paint,46,10,17,6V4KHt9xu4TPEnDFoBeacT,1.0,68
Khalid,Young Dumb & Broke,18,4,36,5Z3GHaZ6ec9bsiI5BenrbY,0.0,82
Charlie Puth,How Long,21,5,24,6wmAHw1szh5RCKSRjiXhPe,0.0,73
XXXTENTACION,Going Down!,95,19,1,7CkbRn6S0itJqcqn88AtSV,1.0,67
The Chainsmokers,Everybody Hates Me,100,20,1,6ufrOaf4v6Qady6GiIpQ0s,0.0,64
Demi Lovato,Sorry Not Sorry,6,2,36,7gvd8xj4QgPqbQSsn5pV7d,1.0,79
Logic,Contra,60,12,1,7u90MSvVyEjL0c8icaE7jl,1.0,58
Logic,Overnight,68,14,1,3s3VVLE1kB7Xk2AoJKlGmr,1.0,58
Logic,Midnight,74,15,1,1GtVGc1UYin3zpMUdNSSpM,1.0,61
Logic,Yuck,87,18,1,0D5CXSUx8GOCHSY8KWgi9h,1.0,56
"ScHoolboy Q, 2 Chainz & Saudi",X,49,10,5,4LmAnpjlhWTahvRkYR8xJa,1.0,69
Logic,BoomTrap Protocol,97,20,1,4fZxGiES1FKbNqJPrI4L3s,1.0,56
SOB X RBE,Paramedic!,65,13,4,2tPcTFiQF9MbVUyjZ3zDhA,1.0,66
5 Seconds Of Summer,Want You Back,61,13,1,2vHfabj6nFebekTYODqntl,1.0,67
Russell Dickerson,Yours,49,10,20,3I4WFddKpe2PGZWFh7f10J,0.0,70
Walker Hayes,You Broke Up With Me,62,13,19,5jZF1nvKORdaHNjNNMRbFl,0.0,64
6ix9ine,Kooda,50,10,9,0tYHqwTW4s6VuPWDSD7n7K,1.0,69
Khalid & Swae Lee,The Ways,63,13,3,5jyyPsIGM2yqkZN9R3TmvN,1.0,65
Janelle Monae,Make Me Feel,99,20,1,5gW5dSy3vXJxgzma4rQuzH,1.0,66
Plies,Rock,95,19,5,0QVISdPWRllAmoDBG3DEHU,1.0,53
Ed Sheeran,Shape Of You,1,1,59,7qiZfU4dY1lWllzX7mPBI3,0.0,85
Sam Smith,Too Good At Goodbyes,4,1,24,3VlbOrM6nYPprVvzBZllE5,0.0,75
Lil Pump,Gucci Gang,3,1,24,43ZyHQITOjhciSUUNPVRHc,1.0,72
Kendrick Lamar & Travis Scott,Big Shot,71,15,2,5cXg9IQS34FzLVdHhp7hu7,1.0,68
Kelsea Ballerini,Legends,68,14,12,6vlxmQGwmlyp07YjkugV6K,0.0,57
Liam Payne & Rita Ora,For You (Fifty Shades Freed),76,16,3,66xn6tB8s3l8uhj02OGneE,0.0,65
WALK THE MOON,One Foot,65,13,8,0iQ77tSa7ncj7zBPtVx6cU,0.0,64
Keith Urban,Female,69,14,6,1t34UsQ634a233qysq6D6L,0.0,57
Justin Timberlake,Filthy,9,2,6,1L3NV7VrCiuE8C5QlhdeQL,0.0,51
Kendrick Lamar,Black Panther,91,19,1,5qN4HFkapdAOV94XPryVof,1.0,57
Brett Young,Like I Loved You,46,10,20,3T6MAweakkNrMYs8jZIWtg,0.0,67
Chris Young,Losing Sleep,60,12,20,6waqLPcT6ruMhmd36OhmFO,0.0,65
Justin Timberlake,Man Of The Woods,73,15,1,4KTU5aa5s547f1JF5DImhF,0.0,55
Drake,Diplomatic Immunity,7,2,3,4haJoBPbPj9QFKNpp9e8kx,1.0,55
The Chainsmokers,Sick Boy,65,13,3,58kZ9spgxmlEznXGu6FPdQ,0.0,72
Easton Corbin,A Girl Like You,98,20,1,3AsNVBJ7LHsltdu9490ZiS,0.0,59
Justin Timberlake,Supplies,71,15,2,6jT85s2dZ55HBqjXYi2rfI,0.0,54
Imagine Dragons,Believer,4,1,52,0pqnGHJpmpxLKifKRmU6WP,0.0,87
Migos,Supastars,53,11,1,7yt6eiZQCkVFEzwGp4Pbor,1.0,55
Migos,Gang Gang,73,15,1,6RKkHI2fkmgZq7uQPPav8f,1.0,59
Migos,Higher We Go (Intro),83,17,1,43dOwOq0mB4i6j4SpcSkqC,1.0,52
Migos,Auto Pilot,85,17,1,4Kw3CztmD15X1QGDnnHmLD,1.0,50
Migos,Emoji A Chain,87,18,1,0G9rmRmQDFk9O2tzZLyRkc,1.0,52
Eric Church,Round Here Buzz,56,12,19,52ioLaTnO2J7BWY8UN2n9D,0.0,63
21 Savage,Bank Account,12,3,29,2fQrGHiQOvpL9UgPvtYy6G,1.0,79
Charlie Puth,Attention,5,1,40,5cF0dROlMOK5uNZtivgu50,0.0,81
LANCO,Greatest Love Story,45,9,21,2yQZwi1P8AkkxxFhQ8rMEK,0.0,73
NF,No Name,82,17,1,7hdw5gAGMyyn9z0XgfTv1j,0.0,66
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,88,18,4,4ylWMuGbMXNDgDd8lErEle,0.0,74
Loren Allred,Never Enough,88,18,4,0Gl5s8IhMmQE5YQwM8Qx1J,0.0,75
Lil Baby,My Dawg,71,15,7,7CEJH5Ed7FBbXF6CqBQPlJ,1.0,62
SZA,The Weekend,29,6,25,6gU9OKjOE7ghfEd55oRO57,1.0,75
Troye Sivan,My My My!,80,16,1,4NiehSBQthimPzRsVeOgCT,0.0,73
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,75,15,6,038kavjqUaGIYZL5lYocvX,1.0,55
Taylor Swift,...Ready For It?,4,1,20,2yLa0QULdQr0qAIvVwN6B5,0.0,70
Bruno Mars,That's What I Like,1,1,52,0KKkJNfGyhkQ5aFogxQAPU,0.0,81
Maren Morris,I Could Use A Love Song,56,12,21,09iyGiljLWRYXdRazFkdtJ,0.0,72
Niall Horan,Too Much To Ask,66,14,12,39jXnbACjiaiTwwhsr5sY5,1.0,73
"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,90,18,5,0OI7AFifLSoGzpb8bdBLLV,0.0,74
Yo Gotti,Juice,90,18,6,1psC5iHzQxaTMZ5dWGfM6I,1.0,55
P!nk,What About Us,13,3,22,0Qh38w01QRXK6KHIv0e3hb,0.0,75
Taylor Swift,Look What You Made Me Do,1,1,20,1P17dC1amhFzptugyAO7Il,0.0,75
Luke Bryan,Light It Up,57,12,19,5w3NgfV8v1nNZFLUBlGHIL,0.0,62
Tay-K,The Race,44,9,20,3wGXyJGsCf1myH5MooQIqE,1.0,72
Huncho Jack,Modern Slavery,68,14,1,7J6bnDDitOwfelaJNixHhL,1.0,61
Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),69,14,1,7ER7vcy7u2ajg5IV45WBFw,0.0,64
Huncho Jack,Black & Chinese,71,15,1,628Ueb4sRiXApObhcU9iPU,1.0,65
Huncho Jack,Huncho Jack,87,18,1,5vuiHi3QYbwcm1OKJOYnrf,1.0,58
Huncho Jack,Motorcycle Patches,90,18,1,7g7raxdQpiLZT7aOlib4S1,1.0,66
Huncho Jack,Saint,92,19,1,7foypmc7KZyU716Yv63BPe,1.0,66
Addison Agen,Tennessee Rain,67,14,1,54p39OJ544KF6iFeCzbVjs,0.0,37
Chloe Kohanski,Wish I Didn't Love You,69,14,1,0SqmAwQrNyypiTroSwVjbX,0.0,26
Red Marlow,I Pray,84,17,1,4cF4l5ShMLqMCFeabt8Xa6,0.0,21
Eminem,Believe,92,19,1,4iTyf5pLZMOR8YrEZgSopo,1.0,61
Kendrick Lamar,Humble.,1,1,37,7KXjTSCq5nL1LoYtL7XAwS,1.0,82
Shawn Mendes,There's Nothing Holdin' Me Back,6,2,34,7JJmb5XwzOO8jgpou264Ml,0.0,81
Luke Combs,When It Rains It Pours,33,7,20,1mMLMZYXkMueg65jRRWG1l,0.0,79
Thomas Rhett,Unforgettable,47,10,20,30MM5jWpUmOxtTNd9Ey5LZ,0.0,70
Migos & Marshmello,Danger,82,17,1,0nhVrTiCGiGRCoZOJiWzm1,1.0,72
Eminem,Untouchable,86,18,1,6IvespQWGW4USXwexlVKDm,1.0,53
Kelly Clarkson,Love So Soft,47,10,13,16QN8cBubEq706vNtPpOME,0.0,59
Kodak Black,Transportin',46,10,16,1WIZiOuNO3woKfdlSK2gNn,1.0,70
Lil Uzi Vert,Sauce It Up,49,10,15,1uL78kFWxhz3umTMWJu8n5,1.0,69
Kesha,Praying,22,5,21,0jdny0dhgjUwoIp5GkqEaA,0.0,74
blackbear,Do Re Mi,40,8,25,3Q3myFA7q4Op95DOpHplaY,1.0,78
Niall Horan,Slow Hands,11,3,31,2cOUlop2ZakjOKe4WinesN,0.0,76
Chris Janson,Fix A Drink,67,14,14,0s6OWiWGuiCcm1Muzch5A8,0.0,63
Post Malone,Go Flex,76,16,11,5yuShbu70mtHXY0yLzCQLQ,1.0,79
Chloe Kohanski,Total Eclipse Of The Heart,99,20,1,1pFkLWesh2zpoFTs2g4SFt,0.0,25
Lil Peep,Awful Things,79,16,1,7Hr2XoaGpIMKbNXCZDZ3le,1.0,74
Carly Pearce,Every Little Thing,50,10,17,2wxfu24GQpEZQrjDJm5Ac1,0.0,62
Chris Brown,Questions,78,16,13,3ojTJaonfkL96iIWa47SU3,0.0,67
Lil Uzi Vert,XO TOUR Llif3,7,2,34,7GX5flRQZVHRAGd6B4TmDO,1.0,84
The Chainsmokers & Coldplay,Something Just Like This,3,1,39,1dNIEtp7AY3oDAKCGg2XkH,0.0,75
Taylor Swift,Call It What You Want,27,6,2,1GwMQaZz6Au3QLDbjbMdme,0.0,68
Taylor Swift,Gorgeous,13,3,4,1ZY1PqizIl78geGM4xWlEA,0.0,70
Florida Georgia Line,Smooth,89,18,7,31x4wWBghN7f5PiEZUmcAW,0.0,59
G-Eazy,The Plan,96,20,1,7fOPVfABNLg3sxtgXBhBdp,1.0,57
Sam Hunt,Body Like A Back Road,6,2,41,7mldq42yDuxiUNn08nvzHO,0.0,77
Khalid,Location,16,4,43,152lZdxL1OR0ZMW6KquMif,0.0,80
Jon Pardi,Heartache On The Dance Floor,47,10,18,0w3Q14i073jLoew1hgJkwD,0.0,73
Jacquees,B.E.D.,69,14,13,1B6TmCvKjC4dopBohVW51x,1.0,69
Kenny Chesney,All The Pretty Girls,63,13,14,66pxmg3Jhjm09tHoWR1wVR,0.0,70
Kip Moore,More Girls Like You,66,14,12,73WWkaWkIRSP3MYGZ14aY4,0.0,61
Future,Feed Me Dope,68,14,1,3lyeSiAIdLoZUHhV8psOTI,1.0,54
Future,4 Da Gang,92,19,1,3IJ6BBFLD2I2CH3hHFQj3O,1.0,53
Justin Bieber + BloodPop,Friends,20,4,10,7iNIg7XDEaYECfWD5dJ9Va,0.0,72
Liam Payne,Bedroom Floor,98,20,1,1OG4nxGMy72EklX2DwcN3Z,0.0,54
James Arthur,Say You Won't Let Go,11,3,52,5uCax9HTNlzGybIStD3vDh,0.0,84
Dustin Lynch,Small Town Boy,36,8,20,2YMhrXQYKkm4kXLcXKKd5z,0.0,73
Jason Aldean,They Don't Know,67,14,12,3bzE57iNavJJxXL9GgBiOK,0.0,56
Billy Currington,Do I Make You Wanna,47,10,19,3I7krC8kr0gFR7P6vInR1I,0.0,71
A Boogie Wit da Hoodie,No Promises,74,15,2,2BJpuAoDeQ1QuPvnryfAWK,1.0,57
A Boogie Wit da Hoodie,Say A',75,15,2,3AMnOVxEHUgVrythGgqPhI,1.0,62
BTS,DNA,67,14,4,5SE57ljOIUJ1ybL9U6CuBH,0.0,71