artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
"Tyler, The Creator",New Magic Wand,70,14,1,0fv2KH6hac06J86hBUTcSf,True,70
"Tyler, The Creator",A Boy Is A Gun,74,15,1,1nXZnTALNXiPlvXotqHm66,True,70
"Tyler, The Creator",What's Good,85,17,1,6bOkaEXc5CopinGazSLokx,True,64
"Tyler, The Creator",Puppet,88,18,1,0wEC0GNF74lAqrEFZJMl1m,True,65
Brett Young,Here Tonight,42,9,20,38nVuIj9mi5a8oopOJhSJk,False,66
Dean Lewis,Be Alright,23,5,29,3EPXxR3ImUwfayaurPi3cm,True,81
Lil Baby & Gunna,Drip Too Hard,4,1,35,78QR3Wp35dqAhFEc2qAGjE,True,82
Ariana Grande,"Thank U, Next",1,1,28,3e9HZxeyfWwjeyPAMmWSSQ,True,84
Pinkfong,Baby Shark,32,7,20,5ygDXis42ncn6kYG14lEVG,False,77
Old Dominion,Make It Sweet,56,12,20,3Mnr3yyQk1aUPYgbpOQE31,False,54
Ella Mai,Shot Clock,62,13,16,2GlATHCDbLW7xq5BE0Bz5g,True,69
Billie Eilish,You Should See Me In A Crown,41,9,8,3XF5xLJHOQQRbWya6hBp7d,False,80
Billie Eilish,Wish You Were Gay,31,7,11,3Fj47GNK2kUF0uaEDgXLaD,False,81
Lil Uzi Vert,That's A Rack,76,16,5,4pCEIQ6wBVuaJdER5bALtO,True,68
Roddy Ricch,Die Young,99,20,2,3wLtYwtqvKK2ewelSVPeDK,True,73
Lauren Daigle,You Say,29,6,43,6Up545NUflOiXo8cEraH49,False,77
"SZA, The Weeknd & Travis Scott",Power Is Power,90,18,2,4cbdPT6uaBOgOQe3fLMofl,False,69
Anuel AA & Karol G,Secreto,68,14,11,386qhn2zsQoU1QoxALuDOl,False,8
Ski Mask The Slump God,Faucet Failure,87,18,11,1ThmUihH9dF8EV08ku5AXN,True,78
5 Seconds Of Summer,Youngblood,7,2,48,2iUXsYOEPhVqEBwsqP70rE,False,82
"Marshmello, Tyga & Chris Brown",Light It Up,90,18,1,4Q8aDd3H6LF8t4eY7So9O8,True,66
ScHoolboy Q,Numb Numb Juice,55,11,2,6tByydPskASjm9jTPkNQq0,True,69
BLACKPINK,Kill This Love,41,9,4,18PergoIrGmRyeYxnaXJN2,False,79
Post Malone,Better Now,3,1,52,7dt6x5M1jzdTEt8oCbisTK,True,84
Imagine Dragons,Bad Liar,56,12,9,2RSHsoi04658QL5xgQVov3,False,83
Lil Baby,Pure Cocaine,46,10,16,577YBGuskWkVDCxZrLRB4v,True,73
Scotty McCreery,This Is It,42,9,20,74CEfiZthUGX5yUNNUM4bj,False,68
Billie Eilish,My Strange Addiction,43,9,4,3Tc57t9l2O8FwQZtQOvPXK,False,78
Billie Eilish,Xanny,35,7,4,4QIo4oxwzzafcBWkKjDpXY,False,78
Michael Ray,One That Got Away,67,14,9,2TLDilmv1UmRTfyb7f2Hrx,False,60
Dan + Shay,Tequila,21,5,50,42fw0rxRO2xbesF6mJfd4Y,False,75
Cardi B,Money,13,3,26,2GGMabyHXnJmjY6CXhhB2e,True,77
FLETCHER,Undrunk,61,13,6,1Pj5oOFzLYELyyeh1IYRK0,True,72
Riley Green,There Was This Girl,70,14,8,7grWGhX8SHNmyGOkMNVMCt,False,70
Khalid,My Bad,55,11,3,1DUSuNhF8P5vUGNPpQiZa5,False,66
Khalid With John Mayer,Outta My Head,58,12,1,09oZ9eXQ2fo6YDrPzJqAoP,False,71
Khalid,Bad Luck,87,18,1,2vsuel3g4zaLYSOY0mOMbi,False,66
Aventura,Inmortal,95,19,1,2swZ0X1njeU32SNJeBKIfW,False,71
Billie Eilish,I Love You,53,11,1,6CcJMwBtXByIz4zQLzFkKc,False,82
Billie Eilish,Ilomilo,62,13,1,7qEKqBCD2vE5vIBsrUitpD,False,79
Billie Eilish,Listen Before I Go,63,13,1,0tMSssfxAL2oV8Vri0mFHE,False,78
Billie Eilish,8,79,16,1,6X29iaaazwho3ab7GNue5r,False,75
Chris Stapleton,Millionaire,47,10,17,68JS5SFTnW5Yv9Vzw81Jf0,False,68
Jason Aldean,Girl Like You,46,10,19,7K0lR5Ngf5jkOWt1g6ut6l,False,65
Jake Owen,Down To The Honkytonk,65,13,13,5g0XcG0apQTlO3X8r38vGf,True,71
Logic,Confessions Of A Dangerous Mind,78,16,1,0zihDLOIS1CIMT39pU6Jqu,True,13
Jordan Davis,Take It From Me,46,10,13,3dCZm5HrG0jIXAHfNkg2H0,False,71
Rich The Kid,Splashin,80,16,5,3KLo7ByvjCNyBrfz5DZ2mO,True,71
Lil Skies,I,39,8,4,4ZT9FnbFu1PaBfV3itxiqT,True,79
Juice WRLD,Hear Me Calling,38,8,4,13ZyrkCDmRz5xY3seuAWYk,True,77
Chris Brown,Undecided,35,7,12,58oryymPZNdtS2z8Une6NJ,True,67
Kodak Black,Calling My Spirit,46,10,17,2MShy1GSSgbmGUxADNIao5,True,73
Bebe Rexha,Last Hurrah,98,20,1,0i0wnv9UoFdZ5MfuFGQzMy,False,72
Carrie Underwood,Love Wins,83,17,10,4XWnHzCRfRjaHRsTNeh3WR,False,57
Iggy Azalea,Sally Walker,62,13,1,1bPoQ1zaUWZmiYrckwfulU,True,63
Juice WRLD,Fast,47,10,2,6MjNilJCVKJq0LfFvo5jWJ,True,77
Juice WRLD,Maze,65,13,1,4mUIe9gfsdtsVP2zFIl74x,True,75
Luke Bryan,What Makes You Country,54,11,11,3bDXhWsPiFTHtrsMg5faL2,False,66
Juice WRLD,Flaws And Sins,91,19,1,2BSbCCbaSCzkOEZa6N5901,True,73
Lady Gaga,Always Remember Us This Way,41,9,9,2rbDhOo9Fh61Bbu23T2qCk,False,78
Flipp Dinero,Leave Me Alone,20,4,25,14mHfNsSHN0FbLftyjrV9g,True,74
Sheck Wes,Mo Bamba,6,2,28,1xzBco0xcoJEDXktl7Jxrr,True,79
Midland,Burn Out,63,13,9,7yrJnekdlwWARt5lmVqJ6L,False,63
Offset,Red Room,49,10,3,4TWflhgevIGo448fWc6mQq,True,66
Juice WRLD,Armed And Dangerous,44,9,17,5wujBwqG7INdStqGd4tRMX,True,81
Ariana Grande,Needy,14,3,4,1TEL6MlSSVLSdhOSddidlJ,True,73
Lukas Graham,Love Someone,70,14,10,2JqnpexlO9dmvjUMCaLCLJ,False,74
Ariana Grande,NASA,17,4,3,4uTvPEr01pjTbZgl7jcKBD,False,73
Gunna,Outstanding,70,14,1,76PwajqH3ej4hnk9tgaJpp,True,59
Gunna,Wit It,75,15,1,1unFtbwcAnSGgYPmp52vc0,True,56
Gunna,One Call,56,12,2,3pq5dd3Hwg2uJ3d63v9YRx,True,56
Ariana Grande,Imagine,21,5,8,39LmTF9RgyakzSYX8txrow,True,74
Offset,Lick,86,18,1,4W9XGjEUVG9junR70FOLii,True,64
Ariana Grande,Bad Idea,27,6,3,5Il6Oe7lr5XM7A0cWbVQtr,False,71
Gunna,Speed It Up,91,19,1,3BXXkwyhsHM0EPApHMhQC5,True,60
Ariana Grande,Bloodline,22,5,3,2hloaUoRonYssMuqLCBLTX,True,71
John Mayer,I Guess I Just Feel Like,94,19,1,1HNywa8Bk0TmzRwQrzhtPo,False,72
Ariana Grande,Fake Smile,26,6,2,3wFLWP0FcIqHK1wb1CPthQ,True,70
Ariana Grande,Ghostin,25,5,2,2vdBo4ALPYbHRUPKgtE5iC,False,70
Thomas Rhett,Sixteen,42,9,15,3pJkBPHadRAxBBo484RipI,False,66
Ariana Grande,In My Head,38,8,2,4T652DlATVHe0jdLKaN3Bw,True,71
Travis Scott,Yosemite,25,5,18,7lAK3oHbfEnvUQWosrMMpR,True,80
Ariana Grande,Make Up,48,10,2,27356GVuMPFWiJSZCragoM,True,67
Dustin Lynch,Good Girl,44,9,15,3NgcaTIgVh77DdwAInp996,False,70
Lil Wayne,Uproar,7,2,20,3wScL5W8H40zzCKN0atfBk,True,71
Jacquees,You,58,12,12,01jIO8SJFnpSiNLH1JaBZ5,True,71
Zara Larsson,Ruin My Life,76,16,7,5tAa8Uaqr4VvA3693mbIhU,True,79
Kacey Musgraves,Rainbow,98,20,1,79qxwHypONUt3AFq0WPpT9,False,72
Marshmello,Alone,28,6,11,3MEYFivt6bilQ9q9mFWZ4g,False,77
Ariana Grande,Breathin,12,3,25,4OafepJy2teCjYJbvFE60J,True,76
Ella Mai,Trip,11,3,27,6CTWathupIiDs7U4InHnDA,False,75
Logic,Keanu Reeves,38,8,3,3PYx9Wte3jwb48V0wArMOy,True,73
Future,Crushed Up,43,9,5,7wcyO1rrH3Ru4t659IjG41,True,64
Jimmie Allen,Best Shot,37,8,20,3VamXAvVMczcS2PTYtPfBQ,False,71
XXXTENTACION,Sauce!,89,18,1,3jq1RpStaB1YGyN3rRZGca,True,65
XXXTENTACION,BAD!,16,4,11,03eJ2DclFWXYU8GWgANdmZ,True,71
Russell Dickerson,Blue Tacoma,52,11,19,5PBx0zFfehUMyv5H4YXVAU,False,72
Imagine Dragons,Natural,13,3,27,2FY7b99s15jUprqC0M5NCT,False,81
Future,Jumpin On A Jet,57,12,2,1I3ZAmPmbFV78oNKnibOiW,True,55
Future,Never Stop,65,13,1,1AGPmw3QJBNfOK6XioDhZp,True,53
Camila Cabello,Consequences,51,11,12,7sTtHHrD0zDpmzQzH3zegz,False,73
Future,Temptation,76,16,1,2gXOzCwbVXACCaYRj4Qrep,True,50
Future,Rocket Ship,79,16,1,4HfaOznGhHYWqPtpLYz2PB,True,55
Future,F&N,83,17,1,5YP6yKgGGsXKukqxXypVAf,True,56
Future,Call The Coroner,100,20,1,1WlU4jsJ8AoTB96dgd8LJA,True,50
Luke Combs,She Got The Best Of Me,31,7,23,698eQRku24PIYPQPHItKlA,False,77
Future & Juice WRLD,Fine China,26,6,13,5274I4mUMnYczyeXkGDWZN,True,77
Lil Pump,Butterfly Doors,81,17,2,4NdXQlDTzxbOMkzJGWFtz3,True,60
YoungBoy Never Broke Again,Valuable Pain,87,18,2,61Oo3DUJubecZQosjho6Pp,True,63
Billie Eilish,idontwannabeyouanymore,96,20,3,41zXlQxzTi6cGAjpOXyLYH,False,81
Kip Moore,Last Shot,53,11,8,6viHvc13l9A6Ua6xugpeX6,False,65
21 Savage,Monster,73,15,3,2FUNBaa5DwItJtYEBgAblU,True,67
Mitchell Tenpenny,Drunk Me,39,8,21,1G4cdOtF36ZCs6i2dZoC87,False,72
Bad Bunny,Solo de Mi,93,19,1,5YOkA7qd2983FtBQnP8sYx,True,70
XXXTENTACION,whoa (mind in awe),37,8,3,7pdF27mSDuPWhppnHAmWHa,False,73
21 Savage,All My Friends,67,14,2,4paAidoE8VAemwU4jgCc6l,True,69
Katy Perry,Cozy Little Christmas,53,11,2,02FaKXXL7KUtRc7K0k54tL,False,42
Lauren Daigle,The Christmas Song,55,11,2,3jRBwf09lbRAp2DSPlRx8p,False,23
21 Savage,Break Da Law,70,14,1,5ZSIExfQuVv69tw5Qw3yDl,True,56
21 Savage,1.5,86,18,1,2wOXxtHZgRkkrkEbKLzzqs,True,60
21 Savage,Out For The Night,88,18,1,4B8vU5oDXVxO5OkLAI4aLx,True,62
21 Savage,Gun Smoke,93,19,1,4f1XXGjZZ9EkFkrbPJek6X,True,57
21 Savage,ASMR,95,19,1,2QgfDF0fQ4sskDthP8MG5w,True,60
Paul McCartney,Wonderful Christmastime,47,10,1,1SV1fxF65n9NhRHp3KlBuu,False,49
Kodak Black,Testimony,74,15,1,6Gg25EZRbQd4IHiJz2KSY0,True,57
lovelytheband,Broken,29,6,22,6XcfKZvJio9Z0fQy11GnNX,False,76
XXXTENTACION,Guardian Angel,48,10,1,7uqcLJFlSYjVPLUz1vPxkY,True,66
Ariana Grande,God Is A Woman,8,2,22,5OCJzvD7sykQEKHH7qAC3C,True,79
XXXTENTACION,I Don't Let Go,51,11,1,4axYWgXASdsCBHuwInAubT,True,65
XXXTENTACION,Train Food,64,13,1,5lar0mCUejpILVkAz50s2J,True,59
XXXTENTACION,What Are You So Afraid Of,65,13,1,57nOpVSc3j9o03Cr928ZM4,False,66
XXXTENTACION,Staring At The Sky,68,14,1,4KpKyRFwN0gcwj58Uqjv7q,False,59
NF,Lie,48,10,20,07FkzikE6FuHIa8Ma7zJGc,False,77
XXXTENTACION,Difference (Interlude),84,17,1,5itzep0nGnq7hxCfFNsTIR,False,63
Yella Beezy,That's On Me,56,12,20,5c0Vl3yklw5WX9YI36dPLd,True,62
Meek Mill,Intro,55,11,1,3EQ9QP2E7wjYQba8OSPBst,True,57
Meek Mill,Respect The Game,57,12,1,6pUBrvKfJL4qmn95mxU7rC,True,55
Meek Mill,Trauma,61,13,1,45CCe4gu08OYG1I4MH8TU6,True,53
Meek Mill,Championships,70,14,1,5DTOk0tCrmicVQP4mc6hkr,True,54
Meek Mill,Almost Slipped,73,15,1,1bx4Jw8A7GQtImIQGccI6D,True,51
Ski Mask The Slump God,Foot Fungus,81,17,1,3EikYy40GMSp8l5mDV6IQo,True,71
Lil Baby,Crush A Lot,82,17,1,39RWYLt6hgk9BbhkDgaHW9,True,57
Meek Mill,Oodles O' Noodles Babies,85,17,1,0jqLv5PuEUA0GthFjdtlS1,True,51
Lil Baby,Global,91,19,1,7cW1wHpSLYgKWzoWlOCPFJ,True,57
Lil Baby,Word On The Street,98,20,1,52i143Ph5c3RQaQFBXWix1,True,56
Drake,In My Feelings,1,1,22,2G7V7zsVDxg1yRsu7Ew9RJ,True,81
Kane Brown,Lose It,28,6,20,7epGknfpAlH1u33S71Ur1o,False,70
Drake,Nonstop,2,1,22,0TlLq3lA83rQOYtrqBqSct,True,80
Trippie Redd,Topanga,52,11,5,5aXgz1oKK8Q9z9xvTmSnrO,True,75
Billie Eilish,Come Out And Play,69,14,1,7wC5eZcFS1Q1BsQ35DU6H4,False,73
Chris Young,Hangin' On,63,13,13,6CyJlVAEFlNdpggOLanytL,False,65
Maren Morris,Rich,62,13,8,4H0vNUFcHPz5lytcLjwqkr,False,65
Kanye West & Lil Pump,I Love It,6,2,12,4S8d14HvHb70ImctNgVzQQ,True,76
Lil Mosey,Noticed,80,16,10,7zLYKWcXnYeHHWidalz7rj,True,81
Lauv,I Like Me Better,27,6,41,2P91MQbaiQOfbiz9VqhqKQ,False,84
XXXTENTACION,Sad!,1,1,38,3ee8Jmje8o58CHK66QrVC2,True,86
Queen,Bohemian Rhapsody,2,1,44,7tFiyTwD0nx5a1eklYtX2J,False,75
Kodak Black,Take One,81,17,1,1XJBDDpeuZaj5fvmwhdIMw,True,55
Quavo,W O R K I N  M E,52,11,15,33tNYw9oMtSkGe27NpgS64,True,60
Eric Church,Desperate Man,68,14,15,1vHeu2j2MpfMqqvcXKLtic,False,58
AJR,Burn The House Down,100,20,1,0TkJIyL69RAUIbNwGub6uR,True,71
Trippie Redd,Love Scars 3,73,15,1,0AcicReEGm1qcENjqzh1Tg,True,69
Trippie Redd,Toxic Waste,98,20,1,1SxagO9GK0UUeEYLmH8Pln,True,61
Bryce Vine,Drew Barrymore,46,10,14,0OgGn1ofaj55l2PcihQQGV,True,70
Selena Gomez,Back To You,18,4,26,4hQ6UGyWQIGJmHSo0J88JW,False,76
Taylor Swift,Delicate,12,3,35,6NFyWDv5CjfwuzoCkw47Xf,False,76
TakeOff,Last Memory,54,11,2,1fvCggAYrW0VtCljtqv4h2,True,60
Calvin Harris & Sam Smith,Promises,65,13,12,43P4CvRCS6HmVERmYfM8ma,False,26
Old Dominion,Hotel Key,48,10,19,33471tzU1VghDg9zNgGRpz,False,69
Eminem,Killshot,3,1,8,1jo3TwNGCXfNdB5uba3ZVv,True,74
TakeOff,Casper,99,20,1,1B4gJRq61xTs6r1O0Uq2iY,True,70
"Zedd, Maren Morris & Grey",The Middle,5,1,40,09IStsImFySgyp0pIQdqAc,False,82
Chris Janson,Drunk Girl,79,16,10,1kFBLqkTuNKlspkJ1EOGjN,False,64
P!nk,A Million Dreams,90,18,1,0oagwWkGlBoACUuKvTmqZV,False,67
Eminem,Venom,43,9,5,2SL6oP2YAEQbqsrkOzRGO4,True,73
Lil Uzi Vert,New Patek,24,5,7,0Fpen1PTuEnCmOJtUU9Iud,True,71
Cole Swindell,Break Up In The End,49,10,17,5Z19ylxppfnfdP4JH0u8oj,False,66
Lil Mosey,Kamikaze,97,20,1,3to5UxKsozb4T6CfwHuhLJ,True,74
Ariana Grande,No Tears Left To Cry,3,1,27,2qT1uLXPVPzGgFOx4jtEuo,False,81
Future & Juice WRLD,Astronauts,82,17,1,2vs5ubqg8QUbfyWZpMfvWe,True,64
Khalid,Vertigo,89,18,1,7stcuQtnHL7C6XdPvpwywv,False,64
Juice WRLD,Make It Back,92,19,1,2EhJijFUs0WUmNClDBpYJq,True,66
Dua Lipa & BLACKPINK,Kiss And Make Up,93,19,1,7jr3iPu4O4bTCVwLMbdU2i,False,77
Weezer,Africa,51,11,15,3ZPKocroJIcnHGcnJVlLKD,False,63
Florida Georgia Line,Simple,32,7,20,4L9Ds4mpD3SuYoWwFUlv16,False,75
Queen Naija,Medicine,45,9,20,4lFfMRH0YH4pW5gczTDbNC,False,70
Quavo,Biggest Alley Oop,86,18,1,6Q36XucqrejMId3RydVhch,True,57
Quavo,Huncho Dreams,93,19,1,7pVzUPjJ83QojsVcOthmxP,True,47
Luke Bryan,"Sunrise, Sunburn, Sunset",35,7,16,53yTYusPQJ1AApL1hi0Dnc,False,70
Kodak Black,"If I'm Lyin, I'm Flyin",56,12,3,7HdNB8nvJOBwHa8hIkzvxp,True,60
Lil Baby & Gunna,Business Is Business,61,13,1,7roKDmJDOzkpfGpUQJ5EnL,True,61
Lady Gaga,Is That Alright?,63,13,1,172e82oK9vGoBPvc6SqMm5,False,63
Lil Wayne,Dedicate,14,3,2,0Y7di9ZCmB6Elad5WISaPc,True,61
twenty one pilots,Jumpsuit,50,10,4,1E1uGhNdBe6Dddbgs2KqtZ,False,72
Lil Baby & Gunna,Belly,80,16,1,1yQvL8SzbF5JCroRKk9F07,True,57
twenty one pilots,My Blood,81,17,1,5HeKOKc4phmLn8e4I7EkzD,False,72
Charlie Puth,The Way I Am,61,13,7,6qNALlmZa1ESnCxJmXE1K9,False,66
Bradley Cooper,Maybe It's Time,93,19,1,6jMbPsH6lTOLs5n8Af26AG,False,63
twenty one pilots,Nico And The Niners,79,16,2,5SehvGGC53A7SZKCLXQcyt,False,70
Lil Baby,Deep End,97,20,1,16QjPRt5HYK0dnLGmGRCvf,True,56
Lil Baby & Gunna,I Am,98,20,1,3F57PtOdqRpD6euFYqtKXX,True,62
Lil Wayne,Open Letter,47,10,1,2DnH4XlEkghUdE8ymdVom5,True,55
Lil Wayne,Problems,57,12,1,0ubdf6zWT1It2saK41SkO0,True,53
Lil Wayne,Hittas,59,12,1,5s6pKnF3ZPtuqvEx1i1V7U,True,53
Lil Wayne,Open Safe,62,13,1,7EgI0dCaQuHFe3OTj5EpWI,True,55
Lil Wayne,Took His Time,65,13,1,1Dk3CfJEtqvj7Xg2AWwfEn,True,54
Lil Wayne,Mess,74,15,1,6y4pOReFqH2wzo4CV91cZC,True,57
Lil Wayne,Let It All Work Out,75,15,1,3BUWNzPWz2mDbptZmGEXpB,True,60
Lil Wayne,Used 2,78,16,1,68lOQPb5tX8U2cQRuas0L2,True,55
Machine Gun Kelly,Rap Devil,13,3,4,63TyoT9Ee03rQxv8xmdJ2l,True,67
Lil Wayne,Demon,81,17,1,1kaxyXcAi5ZHF3Q94QXsHK,True,54
Lil Wayne,Perfect Strangers,86,18,1,4E3qImtJzRqLt8ZZyLceOE,True,54
Avril Lavigne,Head Above Water,64,13,2,7gY3cyGcB2wnk2xDXiA0pe,False,71
Ed Sheeran,Perfect,1,1,57,0tgVpDi06FyKpA1z0VMD4v,False,86
Drake,Nice For What,1,1,25,3CA9pLiwRIGtUBiMjbZmRw,True,79
Drake,God's Plan,1,1,36,6DCZcSspjsKoFjzjrWoCdn,True,84
Nicki Minaj,Barbie Dreams,18,4,7,6Poyf51k7W3NKnsGwAI90B,True,66
Juice WRLD,All Girls Are The Same,41,9,20,4VXIryQMWpIdGgYR4TrjT1,True,85
Eminem,Fall,12,3,4,58QhkbaAkLFnn7JwAnAato,True,70
Thomas Rhett,Life Changes,36,8,14,4Vxu50qVrQcycjRyJQaZLC,False,67
Dylan Scott,Hooked,48,10,11,3DV49ruvI5Sl6iisPZAc2c,False,66
Travis Scott,Stargazing,8,2,8,7wBJfHzpfI3032CSD7CE2m,True,82
Juice WRLD,Lean Wit Me,68,14,8,3oDkdAySo1VQQG0ptV7uwa,True,81
Mac Miller,Self Care,33,7,3,5bJ1DrEM4hNCafcDd1oxHx,True,77
Eminem,The Ringer,8,2,4,2jt2WxXMCD4zjACthkJQVE,True,71
The Carters,Apes**t,13,3,15,0B08s1tLWCXoFmGP0vIubM,False,42
Brett Young,Mercy,29,6,20,2VIPU72L6tIR4w8J8ap6Kp,False,68
Carrie Underwood,Cry Pretty,48,10,12,7B9UAoGiN4iMCv4s40xoiM,False,56
Eminem,Kamikaze,16,4,3,2gsNpSn7VvvJuSrIDfRoYy,True,69
Bazzi,Mine,11,3,34,7uzmGiiJyRfuViKKK3lVmR,True,79
Mac Miller,Hurt Feelings,70,14,1,5p7GiBZNL1afJJDUrOA6C8,True,70
Eminem,Greatest,23,5,2,2XTquzYQAdT1Hk78bOUwsv,True,68
Mac Miller,Come Back To Earth,91,19,1,01z2fBGB8Hl3Jd3zXe4IXR,False,71
Childish Gambino,Feels Like Summer,54,11,2,7p4vHnYXkxlzvfePJVpcTr,False,73
Migos,Narcos,36,8,15,0wbnC9AUenxp613TYaJsGK,True,71
Eminem,Normal,39,8,1,0evt4UZbdhnHtcAnxkm6A1,True,64
Eminem,Stepping Stone,42,9,1,60Z57Wdrn0pEVpHI7d7GAX,True,64
Childish Gambino,Summertime Magic,44,9,5,4j3GWI86JvSaF0BLdmgcfF,False,71
Marshmello & Anne-Marie,Friends,11,3,29,08bNPGLD8AhKpnnERrAc6G,True,82
Camila Cabello,Never Be The Same,6,2,37,4eWQlBRaTjPPUlzacqEeoQ,False,73
Calvin Harris & Dua Lipa,One Kiss,26,6,21,7ef4DlsgrMEH11cDZd32M6,False,83
XXXTENTACION,Moonlight,13,3,20,0JP9xo3adEtGSdUEISiszL,True,85
Kenny Chesney,Get Along,22,5,21,6n6OQfBpCgzF9oEg8zhBN7,False,72
Ozuna,Unica,72,15,1,33b2wX9d0kxqxhi7lcsC1A,False,69
XXXTENTACION,Changes,18,4,20,7AFASza1mXqntmGtbxXprO,False,84
Zedd & Elley Duhe,Happy Now,90,18,1,7ir8cXuMAfXx9BCYkvYCz0,False,23
Ciara,Level Up,59,12,6,5ubwXXOsH9bUhZsQ0Cybha,False,69
Trippie Redd,Taking A Walk,46,10,3,4mHgYpuGHu99Mw69E83CP2,True,78
Drake,Mob Ties,13,3,8,7rC5Pl8rQSX4myONQHYPBK,True,72
Childish Gambino,This Is America,1,1,17,0b9oOr2ZgvyQu88wzixux9,True,80
Shawn Mendes,In My Blood,11,3,23,2QZ7WLBE8h2y1Y5Fb8RYbH,False,79
Ariana Grande,Sweetener,55,11,1,70khXICDeTTxgYtw3EysKH,True,68
Ariana Grande,Everytime,62,13,1,0WdR2AyLW1Drd3OUdwezM0,True,68
Ariana Grande,R.E.M,72,15,1,1xWH8zYtDeS9mW1JJG23VZ,True,68
Morgan Evans,Kiss Somebody,53,11,8,4f3fb3alVLFc8Ga4ncpg7x,False,68
Ariana Grande,Goodnight N Go,87,18,1,14kYOiFVPb7E7NfFbqhdln,True,71
Alessia Cara,Growing Pains,65,13,8,003eoIwxETJujVWmNFMoZy,False,55
Ariana Grande,Pete Davidson,99,20,1,0XOnMqLQDO89iAg7dWWwnG,True,63
Nicki Minaj,Chun-Li,10,2,16,1e4rwBPVI32vZtTJu7mJ4J,True,71
Cardi B,Be Careful,11,3,20,2Yl4OmDby9iitgNWZPwxkd,True,70
Travis Scott,Stop Trying To Be God,27,6,2,1xYpVRspgaLxdJLOTQkTjg,True,73
Travis Scott,R.I.P Screw,26,6,2,4SZepBIPDRwPaHIjAKwRDb,True,72
Travis Scott,No Bystanders,31,7,2,6OaVWaGfhXn70ZJfdVcabn,True,76
Travis Scott,Carousel,24,5,2,7KZ5MMVgBVox9ycroB2UrI,True,71
J. Cole,Album Of The Year (Freestyle),87,18,1,6rDaCGqcQB1urhpCrrD599,True,60
Travis Scott,5% Tint,36,8,2,11kDth1aKUEUMq9r1pqyds,True,72
Jason Mraz,Have It All,90,18,1,7BXW1QCg56yzEBV8pW8pah,False,66
Dennis Lloyd,Nevermind,86,18,4,63SevszngYpZOwf63o61K4,False,79
Travis Scott,NC-17,41,9,1,6BJbOXDlgVAXSaq6wYFYT2,True,69
Travis Scott,Who? What!,43,9,1,4KYS9GK68yeuUJ8vJfPxrq,True,70
Travis Scott,Skeletons,47,10,1,6NMtzpDQBTOfJwMzgMX0zl,True,72
