,artist,track,peak_position,peak_position_grouped,weeks_in_charts,spotify_id,explicit,spotify_popularity
636,Billie Eilish,idontwannabeyouanymore,96,20,3,41zXlQxzTi6cGAjpOXyLYH,0.0,81
637,Kip Moore,Last Shot,53,11,8,6viHvc13l9A6Ua6xugpeX6,0.0,65
638,21 Savage,Monster,73,15,3,2FUNBaa5DwItJtYEBgAblU,1.0,67
639,Mitchell Tenpenny,Drunk Me,39,8,21,1G4cdOtF36ZCs6i2dZoC87,0.0,72
640,Bad Bunny,Solo de Mi,93,19,1,5YOkA7qd2983FtBQnP8sYx,1.0,70
641,XXXTENTACION,whoa (mind in awe),37,8,3,7pdF27mSDuPWhppnHAmWHa,0.0,73
642,21 Savage,All My Friends,67,14,2,4paAidoE8VAemwU4jgCc6l,1.0,69
643,Katy Perry,Cozy Little Christmas,53,11,2,02FaKXXL7KUtRc7K0k54tL,0.0,42
644,Lauren Daigle,The Christmas Song,55,11,2,3jRBwf09lbRAp2DSPlRx8p,0.0,23
645,21 Savage,Break Da Law,70,14,1,5ZSIExfQuVv69tw5Qw3yDl,1.0,56
646,21 Savage,1.5,86,18,1,2wOXxtHZgRkkrkEbKLzzqs,1.0,60
647,21 Savage,Out For The Night,88,18,1,4B8vU5oDXVxO5OkLAI4aLx,1.0,62
648,21 Savage,Gun Smoke,93,19,1,4f1XXGjZZ9EkFkrbPJek6X,1.0,57
649,21 Savage,ASMR,95,19,1,2QgfDF0fQ4sskDthP8MG5w,1.0,60
650,Paul McCartney,Wonderful Christmastime,47,10,1,1SV1fxF65n9NhRHp3KlBuu,0.0,49
651,Kodak Black,Testimony,74,15,1,6Gg25EZRbQd4IHiJz2KSY0,1.0,57
652,lovelytheband,Broken,29,6,22,6XcfKZvJio9Z0fQy11GnNX,0.0,76
653,XXXTENTACION,Guardian Angel,48,10,1,7uqcLJFlSYjVPLUz1vPxkY,1.0,66
654,Ariana Grande,God Is A Woman,8,2,22,5OCJzvD7sykQEKHH7qAC3C,1.0,79
655,XXXTENTACION,I Don't Let Go,51,11,1,4axYWgXASdsCBHuwInAubT,1.0,65
656,XXXTENTACION,Train Food,64,13,1,5lar0mCUejpILVkAz50s2J,1.0,59
657,XXXTENTACION,What Are You So Afraid Of,65,13,1,57nOpVSc3j9o03Cr928ZM4,0.0,66
658,XXXTENTACION,Staring At The Sky,68,14,1,4KpKyRFwN0gcwj58Uqjv7q,0.0,59
659,NF,Lie,48,10,20,07FkzikE6FuHIa8Ma7zJGc,0.0,77
660,XXXTENTACION,Difference (Interlude),84,17,1,5itzep0nGnq7hxCfFNsTIR,0.0,63
661,Yella Beezy,That's On Me,56,12,20,5c0Vl3yklw5WX9YI36dPLd,1.0,62
662,Meek Mill,Intro,55,11,1,3EQ9QP2E7wjYQba8OSPBst,1.0,57
663,Meek Mill,Respect The Game,57,12,1,6pUBrvKfJL4qmn95mxU7rC,1.0,55
664,Meek Mill,Trauma,61,13,1,45CCe4gu08OYG1I4MH8TU6,1.0,53
665,Meek Mill,Championships,70,14,1,5DTOk0tCrmicVQP4mc6hkr,1.0,54
666,Meek Mill,Almost Slipped,73,15,1,1bx4Jw8A7GQtImIQGccI6D,1.0,51
667,Ski Mask The Slump God,Foot Fungus,81,17,1,3EikYy40GMSp8l5mDV6IQo,1.0,71
668,Lil Baby,Crush A Lot,82,17,1,39RWYLt6hgk9BbhkDgaHW9,1.0,57
669,Meek Mill,Oodles O' Noodles Babies,85,17,1,0jqLv5PuEUA0GthFjdtlS1,1.0,51
670,Lil Baby,Global,91,19,1,7cW1wHpSLYgKWzoWlOCPFJ,1.0,57
671,Lil Baby,Word On The Street,98,20,1,52i143Ph5c3RQaQFBXWix1,1.0,56
672,Drake,In My Feelings,1,1,22,2G7V7zsVDxg1yRsu7Ew9RJ,1.0,81
673,Kane Brown,Lose It,28,6,20,7epGknfpAlH1u33S71Ur1o,0.0,70
674,Drake,Nonstop,2,1,22,0TlLq3lA83rQOYtrqBqSct,1.0,80
675,Trippie Redd,Topanga,52,11,5,5aXgz1oKK8Q9z9xvTmSnrO,1.0,75
676,Billie Eilish,Come Out And Play,69,14,1,7wC5eZcFS1Q1BsQ35DU6H4,0.0,73
677,Chris Young,Hangin' On,63,13,13,6CyJlVAEFlNdpggOLanytL,0.0,65
678,Maren Morris,Rich,62,13,8,4H0vNUFcHPz5lytcLjwqkr,0.0,65
679,Kanye West & Lil Pump,I Love It,6,2,12,4S8d14HvHb70ImctNgVzQQ,1.0,76
680,Lil Mosey,Noticed,80,16,10,7zLYKWcXnYeHHWidalz7rj,1.0,81
681,Lauv,I Like Me Better,27,6,41,2P91MQbaiQOfbiz9VqhqKQ,0.0,84
682,XXXTENTACION,Sad!,1,1,38,3ee8Jmje8o58CHK66QrVC2,1.0,86
683,Queen,Bohemian Rhapsody,2,1,44,7tFiyTwD0nx5a1eklYtX2J,0.0,75
684,Kodak Black,Take One,81,17,1,1XJBDDpeuZaj5fvmwhdIMw,1.0,55
685,Quavo,W O R K I N  M E,52,11,15,33tNYw9oMtSkGe27NpgS64,1.0,60
686,Eric Church,Desperate Man,68,14,15,1vHeu2j2MpfMqqvcXKLtic,0.0,58
687,AJR,Burn The House Down,100,20,1,0TkJIyL69RAUIbNwGub6uR,1.0,71
688,Trippie Redd,Love Scars 3,73,15,1,0AcicReEGm1qcENjqzh1Tg,1.0,69
689,Trippie Redd,Toxic Waste,98,20,1,1SxagO9GK0UUeEYLmH8Pln,1.0,61
690,Bryce Vine,Drew Barrymore,46,10,14,0OgGn1ofaj55l2PcihQQGV,1.0,70
691,Selena Gomez,Back To You,18,4,26,4hQ6UGyWQIGJmHSo0J88JW,0.0,76
692,Taylor Swift,Delicate,12,3,35,6NFyWDv5CjfwuzoCkw47Xf,0.0,76
693,TakeOff,Last Memory,54,11,2,1fvCggAYrW0VtCljtqv4h2,1.0,60
694,Calvin Harris & Sam Smith,Promises,65,13,12,43P4CvRCS6HmVERmYfM8ma,0.0,26
695,Old Dominion,Hotel Key,48,10,19,33471tzU1VghDg9zNgGRpz,0.0,69
696,Eminem,Killshot,3,1,8,1jo3TwNGCXfNdB5uba3ZVv,1.0,74
697,TakeOff,Casper,99,20,1,1B4gJRq61xTs6r1O0Uq2iY,1.0,70
698,"Zedd, Maren Morris & Grey",The Middle,5,1,40,09IStsImFySgyp0pIQdqAc,0.0,82
699,Chris Janson,Drunk Girl,79,16,10,1kFBLqkTuNKlspkJ1EOGjN,0.0,64
700,P!nk,A Million Dreams,90,18,1,0oagwWkGlBoACUuKvTmqZV,0.0,67
701,Eminem,Venom,43,9,5,2SL6oP2YAEQbqsrkOzRGO4,1.0,73
702,Lil Uzi Vert,New Patek,24,5,7,0Fpen1PTuEnCmOJtUU9Iud,1.0,71
703,Cole Swindell,Break Up In The End,49,10,17,5Z19ylxppfnfdP4JH0u8oj,0.0,66
704,Lil Mosey,Kamikaze,97,20,1,3to5UxKsozb4T6CfwHuhLJ,1.0,74
705,Ariana Grande,No Tears Left To Cry,3,1,27,2qT1uLXPVPzGgFOx4jtEuo,0.0,81
706,Future & Juice WRLD,Astronauts,82,17,1,2vs5ubqg8QUbfyWZpMfvWe,1.0,64
707,Khalid,Vertigo,89,18,1,7stcuQtnHL7C6XdPvpwywv,0.0,64
708,Juice WRLD,Make It Back,92,19,1,2EhJijFUs0WUmNClDBpYJq,1.0,66
709,Dua Lipa & BLACKPINK,Kiss And Make Up,93,19,1,7jr3iPu4O4bTCVwLMbdU2i,0.0,77
710,Weezer,Africa,51,11,15,3ZPKocroJIcnHGcnJVlLKD,0.0,63
711,Florida Georgia Line,Simple,32,7,20,4L9Ds4mpD3SuYoWwFUlv16,0.0,75
712,Queen Naija,Medicine,45,9,20,4lFfMRH0YH4pW5gczTDbNC,0.0,70
713,Quavo,Biggest Alley Oop,86,18,1,6Q36XucqrejMId3RydVhch,1.0,57
714,Quavo,Huncho Dreams,93,19,1,7pVzUPjJ83QojsVcOthmxP,1.0,47
715,Luke Bryan,"Sunrise, Sunburn, Sunset",35,7,16,53yTYusPQJ1AApL1hi0Dnc,0.0,70
716,Kodak Black,"If I'm Lyin, I'm Flyin",56,12,3,7HdNB8nvJOBwHa8hIkzvxp,1.0,60
717,Lil Baby & Gunna,Business Is Business,61,13,1,7roKDmJDOzkpfGpUQJ5EnL,1.0,61
718,Lady Gaga,Is That Alright?,63,13,1,172e82oK9vGoBPvc6SqMm5,0.0,63
719,Lil Wayne,Dedicate,14,3,2,0Y7di9ZCmB6Elad5WISaPc,1.0,61
720,twenty one pilots,Jumpsuit,50,10,4,1E1uGhNdBe6Dddbgs2KqtZ,0.0,72
721,Lil Baby & Gunna,Belly,80,16,1,1yQvL8SzbF5JCroRKk9F07,1.0,57
722,twenty one pilots,My Blood,81,17,1,5HeKOKc4phmLn8e4I7EkzD,0.0,72
723,Charlie Puth,The Way I Am,61,13,7,6qNALlmZa1ESnCxJmXE1K9,0.0,66
724,Bradley Cooper,Maybe It's Time,93,19,1,6jMbPsH6lTOLs5n8Af26AG,0.0,63
725,twenty one pilots,Nico And The Niners,79,16,2,5SehvGGC53A7SZKCLXQcyt,0.0,70
726,Lil Baby,Deep End,97,20,1,16QjPRt5HYK0dnLGmGRCvf,1.0,56
727,Lil Baby & Gunna,I Am,98,20,1,3F57PtOdqRpD6euFYqtKXX,1.0,62
728,Lil Wayne,Open Letter,47,10,1,2DnH4XlEkghUdE8ymdVom5,1.0,55
729,Lil Wayne,Problems,57,12,1,0ubdf6zWT1It2saK41SkO0,1.0,53
730,Lil Wayne,Hittas,59,12,1,5s6pKnF3ZPtuqvEx1i1V7U,1.0,53
731,Lil Wayne,Open Safe,62,13,1,7EgI0dCaQuHFe3OTj5EpWI,1.0,55
732,Lil Wayne,Took His Time,65,13,1,1Dk3CfJEtqvj7Xg2AWwfEn,1.0,54
733,Lil Wayne,Mess,74,15,1,6y4pOReFqH2wzo4CV91cZC,1.0,57
734,Lil Wayne,Let It All Work Out,75,15,1,3BUWNzPWz2mDbptZmGEXpB,1.0,60
735,Lil Wayne,Used 2,78,16,1,68lOQPb5tX8U2cQRuas0L2,1.0,55
736,Machine Gun Kelly,Rap Devil,13,3,4,63TyoT9Ee03rQxv8xmdJ2l,1.0,67
737,Lil Wayne,Demon,81,17,1,1kaxyXcAi5ZHF3Q94QXsHK,1.0,54
738,Lil Wayne,Perfect Strangers,86,18,1,4E3qImtJzRqLt8ZZyLceOE,1.0,54
739,Avril Lavigne,Head Above Water,64,13,2,7gY3cyGcB2wnk2xDXiA0pe,0.0,71
740,Ed Sheeran,Perfect,1,1,57,0tgVpDi06FyKpA1z0VMD4v,0.0,86
741,Drake,Nice For What,1,1,25,3CA9pLiwRIGtUBiMjbZmRw,1.0,79
742,Drake,God's Plan,1,1,36,6DCZcSspjsKoFjzjrWoCdn,1.0,84
743,Nicki Minaj,Barbie Dreams,18,4,7,6Poyf51k7W3NKnsGwAI90B,1.0,66
744,Juice WRLD,All Girls Are The Same,41,9,20,4VXIryQMWpIdGgYR4TrjT1,1.0,85
745,Eminem,Fall,12,3,4,58QhkbaAkLFnn7JwAnAato,1.0,70
746,Thomas Rhett,Life Changes,36,8,14,4Vxu50qVrQcycjRyJQaZLC,0.0,67
747,Dylan Scott,Hooked,48,10,11,3DV49ruvI5Sl6iisPZAc2c,0.0,66
748,Travis Scott,Stargazing,8,2,8,7wBJfHzpfI3032CSD7CE2m,1.0,82
749,Juice WRLD,Lean Wit Me,68,14,8,3oDkdAySo1VQQG0ptV7uwa,1.0,81
750,Mac Miller,Self Care,33,7,3,5bJ1DrEM4hNCafcDd1oxHx,1.0,77
751,Eminem,The Ringer,8,2,4,2jt2WxXMCD4zjACthkJQVE,1.0,71
752,The Carters,Apes**t,13,3,15,0B08s1tLWCXoFmGP0vIubM,0.0,42
753,Brett Young,Mercy,29,6,20,2VIPU72L6tIR4w8J8ap6Kp,0.0,68
754,Carrie Underwood,Cry Pretty,48,10,12,7B9UAoGiN4iMCv4s40xoiM,0.0,56
755,Eminem,Kamikaze,16,4,3,2gsNpSn7VvvJuSrIDfRoYy,1.0,69
756,Bazzi,Mine,11,3,34,7uzmGiiJyRfuViKKK3lVmR,1.0,79
757,Mac Miller,Hurt Feelings,70,14,1,5p7GiBZNL1afJJDUrOA6C8,1.0,70
758,Eminem,Greatest,23,5,2,2XTquzYQAdT1Hk78bOUwsv,1.0,68
759,Mac Miller,Come Back To Earth,91,19,1,01z2fBGB8Hl3Jd3zXe4IXR,0.0,71
760,Childish Gambino,Feels Like Summer,54,11,2,7p4vHnYXkxlzvfePJVpcTr,0.0,73
761,Migos,Narcos,36,8,15,0wbnC9AUenxp613TYaJsGK,1.0,71
762,Eminem,Normal,39,8,1,0evt4UZbdhnHtcAnxkm6A1,1.0,64
763,Eminem,Stepping Stone,42,9,1,60Z57Wdrn0pEVpHI7d7GAX,1.0,64
764,Childish Gambino,Summertime Magic,44,9,5,4j3GWI86JvSaF0BLdmgcfF,0.0,71
765,Marshmello & Anne-Marie,Friends,11,3,29,08bNPGLD8AhKpnnERrAc6G,1.0,82
766,Camila Cabello,Never Be The Same,6,2,37,4eWQlBRaTjPPUlzacqEeoQ,0.0,73
767,Calvin Harris & Dua Lipa,One Kiss,26,6,21,7ef4DlsgrMEH11cDZd32M6,0.0,83
768,XXXTENTACION,Moonlight,13,3,20,0JP9xo3adEtGSdUEISiszL,1.0,85
769,Kenny Chesney,Get Along,22,5,21,6n6OQfBpCgzF9oEg8zhBN7,0.0,72
770,Ozuna,Unica,72,15,1,33b2wX9d0kxqxhi7lcsC1A,0.0,69
771,XXXTENTACION,Changes,18,4,20,7AFASza1mXqntmGtbxXprO,0.0,84
772,Zedd & Elley Duhe,Happy Now,90,18,1,7ir8cXuMAfXx9BCYkvYCz0,0.0,23
773,Ciara,Level Up,59,12,6,5ubwXXOsH9bUhZsQ0Cybha,0.0,69
774,Trippie Redd,Taking A Walk,46,10,3,4mHgYpuGHu99Mw69E83CP2,1.0,78
775,Drake,Mob Ties,13,3,8,7rC5Pl8rQSX4myONQHYPBK,1.0,72
776,Childish Gambino,This Is America,1,1,17,0b9oOr2ZgvyQu88wzixux9,1.0,80
777,Shawn Mendes,In My Blood,11,3,23,2QZ7WLBE8h2y1Y5Fb8RYbH,0.0,79
778,Ariana Grande,Sweetener,55,11,1,70khXICDeTTxgYtw3EysKH,1.0,68
779,Ariana Grande,Everytime,62,13,1,0WdR2AyLW1Drd3OUdwezM0,1.0,68
780,Ariana Grande,R.E.M,72,15,1,1xWH8zYtDeS9mW1JJG23VZ,1.0,68
781,Morgan Evans,Kiss Somebody,53,11,8,4f3fb3alVLFc8Ga4ncpg7x,0.0,68
782,Ariana Grande,Goodnight N Go,87,18,1,14kYOiFVPb7E7NfFbqhdln,1.0,71
783,Alessia Cara,Growing Pains,65,13,8,003eoIwxETJujVWmNFMoZy,0.0,55
784,Ariana Grande,Pete Davidson,99,20,1,0XOnMqLQDO89iAg7dWWwnG,1.0,63
785,Nicki Minaj,Chun-Li,10,2,16,1e4rwBPVI32vZtTJu7mJ4J,1.0,71
786,Cardi B,Be Careful,11,3,20,2Yl4OmDby9iitgNWZPwxkd,1.0,70
787,Travis Scott,Stop Trying To Be God,27,6,2,1xYpVRspgaLxdJLOTQkTjg,1.0,73
788,Travis Scott,R.I.P Screw,26,6,2,4SZepBIPDRwPaHIjAKwRDb,1.0,72
789,Travis Scott,No Bystanders,31,7,2,6OaVWaGfhXn70ZJfdVcabn,1.0,76
790,Travis Scott,Carousel,24,5,2,7KZ5MMVgBVox9ycroB2UrI,1.0,71
791,J. Cole,Album Of The Year (Freestyle),87,18,1,6rDaCGqcQB1urhpCrrD599,1.0,60
792,Travis Scott,5% Tint,36,8,2,11kDth1aKUEUMq9r1pqyds,1.0,72
793,Jason Mraz,Have It All,90,18,1,7BXW1QCg56yzEBV8pW8pah,0.0,66
794,Dennis Lloyd,Nevermind,86,18,4,63SevszngYpZOwf63o61K4,0.0,79
795,Travis Scott,NC-17,41,9,1,6BJbOXDlgVAXSaq6wYFYT2,1.0,69
796,Travis Scott,Who? What!,43,9,1,4KYS9GK68yeuUJ8vJfPxrq,1.0,70
797,Travis Scott,Skeletons,47,10,1,6NMtzpDQBTOfJwMzgMX0zl,1.0,72
798,Travis Scott,Astrothunder,48,10,1,4MXhiYIRDMGAuvZc5IFTwC,1.0,74
799,Travis Scott,Butterfly Effect,50,10,23,2cYqizR4lgvp4Qu6IQ3qGN,0.0,83
800,Travis Scott,Houstonfornication,53,11,1,58TaFP5j5i9swOf584yon2,1.0,73
801,Travis Scott,Coffee Bean,68,14,1,6vnfObZ4Ys70SBAtti1xZ9,1.0,71
802,Jake Owen,I Was Jack (You Were Diane),43,9,11,3dlCF1mzW1UKMOb4b1XN17,0.0,66
803,Imagine Dragons,Whatever It Takes,12,3,27,6Qn5zhYkTa37e91HC1D7lb,0.0,80
804,Demi Lovato,Sober,47,10,3,0STK94RxUulYqWzwFlyAb5,0.0,74
805,Foster The People,Sit Next To Me,42,9,20,4BdGO1CaObRD4La9l5Zanz,0.0,73
806,Luke Combs,One Number Away,34,7,20,4gB7HrYHbJVJ5RFOjxmoq4,0.0,74
807,The Weeknd,Call Out My Name,4,1,18,09mEdoA6zrmBPgTEN5qXmN,0.0,82
808,Kanye West,All Mine,11,3,9,3U21A07gAloCc4P7J8rxcn,1.0,72
809,Queen Naija,Karma,63,13,2,3qmm9AdG0TnShv0drgXNIQ,0.0,65
810,Nicky Jam x J Balvin,X,41,9,21,5YUyW9opqNsMSEzzecZih1,0.0,76
811,Chance The Rapper,I Might Need Security,60,12,1,3EApebexZ7YqDIqw2EMTDh,1.0,61
812,Drake,Emotionless,8,2,4,5Psnhdkyanjpgc2P8A5TSM,1.0,66
813,Drake,Can't Take A Joke,18,4,4,1dUHF4RyMmMTveJ0Rby6Xm,1.0,67
814,Drake,Elevate,14,3,3,3szf2z1Cy1QMrtHrbn8rz9,1.0,64
815,Drake,Blue Tint,30,6,3,4n1bdaKwynQndm47x5HqWX,1.0,64
816,Bad Wolves,Zombie,54,11,18,1vNoA9F5ASnlBISFekDmg3,0.0,71
817,Drake,8 Out Of 10,21,5,3,0zqy3ss4CwD6u4QPksS0nI,1.0,61
818,Future,31 Days,65,13,2,7MywASx2OFZngfoORjo1yy,1.0,52
819,Future,Wifi Lit,53,11,1,6WlxcZKpEV6Bwe9InoVhMp,1.0,53
820,XXXTENTACION,Jocelyn Flores,19,4,20,7m9OqQk4RVRkw9JJdeAw96,1.0,87
821,Drake,Sandra's Rose,27,6,2,6cblRiEGDRNZgowcm951R3,1.0,63
822,Drake,Summer Games,28,6,2,4HG1YiGBseVKzjyKcmAJen,0.0,62
823,Drake,Jaded,32,7,2,4c2xt1trwYZpMqPWY35Xi9,1.0,65
824,Drake,That's How You Feel,37,8,2,41a7dZcq30Ss5kPMayWRV0,1.0,64
825,Drake,Survival,17,4,2,2yg9UN4eo5eMVJ7OB4RWj3,1.0,61
826,Future,Cuddle My Wrist,71,15,1,5UVNjOSh27encRBqTpBWup,1.0,50
827,Future,Racks Blue,76,16,1,4lc61NBCDzy2srBHDQeTfN,1.0,50
828,Drake,Finesse,42,9,2,2WP8G2pdddDmnh1xbfKBOI,0.0,70
829,Lil Pump,Drug Addicts,83,17,1,6tpHfEM8eaETzlPOARYWfZ,1.0,58
830,J. Cole,KOD,10,2,12,7yotKA30dwTKNEGomV9ZsI,1.0,72
831,Drake,Peak,38,8,2,11L064movtyopGdLiX4sVg,1.0,61
832,Drake,Is There More,36,8,2,1Tnw0ItH1Macok8gblnPPd,1.0,58
833,Drake,Ratchet Happy Birthday,51,11,1,4SUwJA3eUVNHExxMPEUhQe,1.0,58
834,Drake,Final Fantasy,56,12,1,44Du2IM1bGY7dicmLfXbUs,1.0,58
835,Drake,March 14,57,12,1,09lmraDvzBT3pUQ2rUtJzK,1.0,56
836,Lil Pump,Esskeetit,24,5,12,44KKhCyI0BGS6LvVyDqJtH,1.0,64
837,XXXTENTACION,Everybody Dies In Their Nightmares,42,9,7,3GVkPk8mqxz0itaAriG1L7,1.0,83
838,Kanye West,Yikes,8,2,5,1qsHYUd2c1wFGcn7e63QmG,1.0,68
839,Sam Hunt,Downtown's Dead,94,19,2,5eFfsbjSouG8qOpg9ZqDl6,0.0,57
840,Famous Dex,Japan,28,6,15,5PTG6rrL6EPFD9E2QMI2pl,1.0,73
841,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),55,11,5,4UKCKdYiLN6IMA5ZESUTL7,1.0,82
842,Blake Shelton,I Lived It,63,13,18,5slddJ629YcePvqD6Uyk8r,0.0,60
843,Rich The Kid,Plug Walk,13,3,20,1ZAyjvIk9YiD76yYy0TEG6,1.0,75
844,Kane Brown,Heaven,15,3,27,1HXy5I3HTWq8OvxCn0z7G7,0.0,77
845,Dua Lipa,New Rules,6,2,48,2ekn2ttSfGqwhhate0LSR0,0.0,81
846,Maroon 5,Wait,24,5,24,6AvfZXpbb6r35DfF7gHPRq,0.0,64
847,Daddy Yankee,Dura,43,9,21,6nR4ZCrJ3j9oKjhrfdDg1O,0.0,13
848,"2 Chainz, Drake & Quavo",Bigger > You,53,11,2,5S1IUPueD0xE0vj4zU3nSf,1.0,64
849,Panic! At The Disco,Say Amen (Saturday Night),60,12,3,76vMKwFtdDDCLcM6zXybjB,0.0,69
850,XXXTENTACION,Hope,70,14,2,2ZRo7axmMPeSVUvDbGkJah,1.0,82
851,BTS,Fake Love,10,2,6,3aW0ds4A4tSQDIp75FqWTo,0.0,72
852,XXXTENTACION,Numb,80,16,3,01TnVDiet1DFTsyWKUKovl,0.0,75
853,YoungBoy Never Broke Again,Overdose,42,9,9,3A1BaBGT3HgzuDrV9pgX9v,1.0,59
